iter	Logloss
0	0.6699855919
1	0.6450083715
2	0.6229149739
3	0.6056601103
4	0.5907551847
5	0.577155294
6	0.5660665728
7	0.5527892102
8	0.5434086952
9	0.5334825222
10	0.5235999131
11	0.5162838705
12	0.509570543
13	0.5045886657
14	0.4996126683
15	0.4939334045
16	0.4891981705
17	0.485178988
18	0.479911595
19	0.4765742851
20	0.4724345304
21	0.4698760445
22	0.4659565738
23	0.4632330683
24	0.4595242462
25	0.457537265
26	0.4535992831
27	0.4514409363
28	0.4498806576
29	0.4483843321
30	0.4466300116
31	0.4443306414
32	0.4419200465
33	0.4409601679
34	0.4398979955
35	0.4379784383
36	0.4373197818
37	0.4362350272
38	0.4349534978
39	0.4340584059
40	0.4327707354
41	0.4314659003
42	0.43122064
43	0.4297370109
44	0.4282837843
45	0.4271398128
46	0.425673244
47	0.424817462
48	0.4239045555
49	0.4233707642
50	0.4216366396
51	0.4205782662
52	0.4201625402
53	0.4192900729
54	0.4189082602
55	0.4186270376
56	0.4183646956
57	0.4175914079
58	0.4162296668
59	0.4153130647
60	0.4150711629
61	0.4143851404
62	0.4140039546
63	0.414002612
64	0.4138938385
65	0.4132029867
66	0.4116768948
67	0.4106523422
68	0.4104168769
69	0.4096207581
70	0.4082456377
71	0.4077068141
72	0.4071610214
73	0.4067877882
74	0.4059006948
75	0.4059006921
76	0.405684961
77	0.405338405
78	0.4044176823
79	0.4040998878
80	0.403676959
81	0.4032625794
82	0.4023915181
83	0.40201022
84	0.4017401253
85	0.4016516643
86	0.4012114037
87	0.4010165532
88	0.3999742163
89	0.3998923599
90	0.3994921349
91	0.3990508948
92	0.3987773831
93	0.3986224741
94	0.3980853052
95	0.3979176385
96	0.3974808812
97	0.3967904459
98	0.396171293
99	0.3957555935
100	0.3957555924
101	0.3956661867
102	0.3952025955
103	0.3949791626
104	0.3949410687
105	0.3940939617
106	0.3938849348
107	0.3933632616
108	0.3926522787
109	0.3915512183
110	0.3910337815
111	0.3904788859
112	0.3897934761
113	0.3892018459
114	0.388915889
115	0.3880607548
116	0.3871538165
117	0.3866596898
118	0.3859210861
119	0.385621738
120	0.3856217374
121	0.3855908817
122	0.3848266652
123	0.3845083153
124	0.3841128515
125	0.3835327904
126	0.3832353406
127	0.3826400325
128	0.3816621414
129	0.3812591606
130	0.3808429151
131	0.3804432162
132	0.3802181904
133	0.3786606208
134	0.3777048608
135	0.3771300038
136	0.3767765493
137	0.3766829011
138	0.3763552635
139	0.3758352493
140	0.3743292736
141	0.3739364327
142	0.3729889858
143	0.3724728667
144	0.3720559541
145	0.3715638967
146	0.371367479
147	0.3708812819
148	0.3707472121
149	0.3706515776
150	0.3704343095
151	0.3698425209
152	0.369250921
153	0.3689544454
154	0.3688448655
155	0.3685979399
156	0.3679620182
157	0.3675708503
158	0.366385542
159	0.3660987276
160	0.3660881093
161	0.3656345684
162	0.3652659965
163	0.3647611212
164	0.3642194037
165	0.3633753734
166	0.3629742714
167	0.36275518
168	0.3625716788
169	0.362212761
170	0.3616541509
171	0.3612972791
172	0.3610449587
173	0.3609475178
174	0.36061858
175	0.3596285695
176	0.3590126465
177	0.3584813467
178	0.3582899447
179	0.3578600257
180	0.3576338183
181	0.357230498
182	0.3571278894
183	0.356605685
184	0.3566056801
185	0.3563396033
186	0.3561279887
187	0.3552643466
188	0.3548912129
189	0.3548015256
190	0.3544164091
191	0.3540138718
192	0.3534892176
193	0.3532947431
194	0.3531918791
195	0.3525287039
196	0.3518653796
197	0.3516161087
198	0.3513353905
199	0.3511802882
200	0.3508148221
201	0.3506238173
202	0.3505511323
203	0.3505103685
204	0.3487248078
205	0.348552695
206	0.348461382
207	0.3482663122
208	0.3466682828
209	0.3463055094
210	0.3457647683
211	0.345581774
212	0.3451652936
213	0.3444732437
214	0.3438861669
215	0.3436965658
216	0.3436198873
217	0.3436198873
218	0.343449457
219	0.3426906605
220	0.3426426552
221	0.3424823922
222	0.3418956838
223	0.3417439014
224	0.3412578688
225	0.341252919
226	0.3409018546
227	0.3405853014
228	0.3400733867
229	0.3396461582
230	0.3396431537
231	0.3395487693
232	0.339193754
233	0.3389258986
234	0.3386002118
235	0.3379316493
236	0.3374946348
237	0.3374830513
238	0.3366064304
239	0.3357441693
240	0.3349758649
241	0.3348683113
242	0.3348366384
243	0.3343812718
244	0.3342899867
245	0.3334806514
246	0.3329178869
247	0.3321597493
248	0.3319526015
249	0.3316857368
250	0.3310554346
251	0.3309791299
252	0.3309002736
253	0.3308134825
254	0.3298524158
255	0.329402938
256	0.3290428148
257	0.3285451175
258	0.3282335724
259	0.3278469459
260	0.3277360921
261	0.3271599625
262	0.326770185
263	0.3265216966
264	0.3254766953
265	0.325020793
266	0.324461948
267	0.3241434403
268	0.324004831
269	0.323731586
270	0.3235120704
271	0.3234965608
272	0.3228424938
273	0.3227623345
274	0.3225677721
275	0.3223359107
276	0.3218010174
277	0.3213696541
278	0.3208707828
279	0.3208656384
280	0.3207266131
281	0.3199557742
282	0.3199142017
283	0.319627303
284	0.3192901336
285	0.3189314431
286	0.3187372945
287	0.3185677249
288	0.3181275181
289	0.31812751
290	0.3174625918
291	0.3174240166
292	0.3172509152
293	0.3167054904
294	0.3164798441
295	0.3164238824
296	0.3162271056
297	0.3160176455
298	0.3157727101
299	0.3156052824
