iter	RMSE
367	0.1610148945
368	0.1610107364
369	0.1610076812
370	0.1610073505
371	0.1610064985
372	0.1610062003
373	0.1610057169
374	0.161001227
375	0.1610010571
376	0.1609991507
377	0.1609967018
378	0.1609964302
379	0.1609923344
380	0.1609884936
381	0.1609882353
382	0.1609868885
383	0.1609866522
384	0.1609861913
385	0.1609857735
386	0.1609856418
387	0.1609818169
388	0.1609814535
389	0.1609793382
390	0.1609760198
391	0.1609752462
392	0.1609737834
393	0.1609735174
394	0.1609701629
395	0.1609670292
396	0.1609656245
397	0.1609645276
398	0.1609632727
399	0.1609605396
400	0.1609599618
401	0.1609573946
402	0.1609548082
403	0.1609522826
404	0.1609499971
405	0.1609477862
406	0.1609457862
407	0.1609449814
408	0.1609430272
409	0.16094188
410	0.1609407217
411	0.1609396781
412	0.160937772
413	0.1609360016
414	0.1609350323
415	0.1609333448
416	0.1609317827
417	0.160930774
418	0.1609297568
419	0.1609282417
420	0.1609273854
421	0.1609260237
422	0.1609248551
423	0.1609240345
424	0.1609227398
425	0.160921874
426	0.1609210538
427	0.1609198886
428	0.1609192187
429	0.1609185434
430	0.1609178387
431	0.1609169862
432	0.1609161959
433	0.1609155438
434	0.1609149644
435	0.160914219
436	0.1609132396
437	0.1609123496
438	0.1609117975
439	0.1609111459
440	0.160910629
441	0.1609101215
442	0.1609096833
443	0.1609088454
444	0.1609082186
445	0.160907808
446	0.1609072183
447	0.1609067793
448	0.1609061644
449	0.160905651
450	0.160905077
451	0.1609047446
452	0.160904287
453	0.1609040446
454	0.1609036457
455	0.1609032758
456	0.1609030338
457	0.1609027946
458	0.1609025627
459	0.1609021541
460	0.1609019489
461	0.1609015354
462	0.1609013758
463	0.160901197
464	0.1609008023
465	0.1609002333
466	0.1608998571
467	0.1608992204
468	0.1608990039
469	0.1608988765
470	0.1608984917
471	0.1608981535
472	0.1608978093
473	0.1608974965
474	0.1608971878
475	0.1608970584
476	0.1608968988
477	0.1608963834
478	0.160895962
479	0.1608955641
480	0.1608954471
481	0.1608952962
482	0.1608951919
483	0.1608948324
484	0.1608946051
485	0.1608943291
486	0.1608942006
487	0.160894026
488	0.160893772
489	0.1608935082
490	0.1608934133
491	0.1608932162
492	0.1608931298
493	0.1608930376
494	0.1608926898
495	0.1608925299
496	0.1608922744
497	0.1608920454
498	0.1608919601
499	0.1608919184
500	0.1608917087
501	0.1608914695
502	0.160891161
503	0.1608909472
504	0.1608904235
505	0.1608903319
506	0.1608900226
507	0.1608897389
508	0.1608896488
509	0.1608895868
510	0.1608895703
511	0.160889168
512	0.1608891517
513	0.1608891132
514	0.1608888575
515	0.1608884628
516	0.1608882175
517	0.1608878545
518	0.1608876516
519	0.1608876368
520	0.1608876298
521	0.1608875065
522	0.1608872864
523	0.1608869597
524	0.1608868095
525	0.1608865382
526	0.1608865226
527	0.1608865159
528	0.1608863411
529	0.1608861576
530	0.1608861512
531	0.1608859555
532	0.1608858015
533	0.1608854038
534	0.1608852802
535	0.1608852125
536	0.1608849948
537	0.1608847658
538	0.1608846069
539	0.1608844539
540	0.1608844227
541	0.1608842499
542	0.1608841242
543	0.1608840894
544	0.1608838607
545	0.1608837082
546	0.1608835668
547	0.1608832827
548	0.1608832712
549	0.1608831305
550	0.1608831207
551	0.1608828683
552	0.1608828043
553	0.1608827763
554	0.160882634
555	0.1608826288
556	0.1608823115
557	0.1608821825
558	0.1608818894
559	0.1608817075
560	0.1608815789
561	0.1608815236
562	0.1608814429
563	0.1608812803
564	0.1608811354
565	0.1608810102
566	0.1608808779
567	0.160880789
568	0.1608805955
569	0.1608804905
570	0.1608804244
571	0.1608803235
572	0.1608802597
573	0.1608801849
574	0.1608799888
575	0.1608797959
576	0.1608797128
577	0.1608796191
578	0.1608794402
579	0.1608794027
580	0.1608793935
581	0.1608793851
582	0.16087929
583	0.1608792024
584	0.1608791184
585	0.1608790212
586	0.160878952
587	0.1608789368
588	0.1608788924
589	0.160878805
590	0.1608787306
591	0.160878708
592	0.160878605
593	0.1608785252
594	0.1608785057
595	0.1608784102
596	0.1608782175
597	0.1608781051
598	0.1608780198
599	0.1608779414
600	0.1608778421
601	0.1608777725
602	0.1608777083
603	0.1608775948
604	0.1608774927
605	0.1608773487
606	0.1608772974
607	0.1608772354
608	0.1608771586
609	0.1608771558
610	0.1608771045
611	0.1608771019
612	0.1608770093
613	0.1608769876
614	0.1608769851
615	0.1608769543
616	0.1608768698
617	0.1608768573
618	0.1608768475
619	0.1608768383
620	0.1608768298
621	0.1608767973
622	0.1608767851
623	0.1608767769
624	0.1608766948
625	0.1608766188
626	0.1608764848
627	0.1608764241
628	0.1608764133
629	0.1608763416
630	0.1608762162
631	0.1608762056
632	0.1608761522
633	0.160876145
634	0.1608761126
635	0.1608760686
636	0.160876062
637	0.1608760558
638	0.1608760457
639	0.1608760178
640	0.1608760087
641	0.1608760023
642	0.1608759774
643	0.1608758939
644	0.1608757408
645	0.1608757328
646	0.1608757249
647	0.1608756747
648	0.1608756451
649	0.1608756345
650	0.1608756101
651	0.1608755002
652	0.1608754739
653	0.1608754467
654	0.1608754394
655	0.1608754301
656	0.1608754233
657	0.1608753762
658	0.1608753695
659	0.1608753379
660	0.160875306
661	0.1608752687
662	0.1608752406
663	0.160875142
664	0.1608750885
665	0.1608750725
666	0.1608750353
667	0.1608750264
668	0.1608750037
669	0.1608749865
670	0.1608749367
671	0.1608749304
672	0.1608749093
673	0.1608748809
674	0.160874838
675	0.1608748309
676	0.1608747787
677	0.1608747374
678	0.1608747143
679	0.160874689
680	0.1608746646
681	0.1608746529
682	0.1608746469
683	0.1608746103
684	0.1608745773
685	0.1608745724
686	0.1608745111
687	0.1608744672
688	0.160874378
689	0.1608743451
690	0.1608742394
691	0.1608742197
692	0.1608741955
693	0.16087418
694	0.1608741603
695	0.1608741245
696	0.1608740689
697	0.1608740625
698	0.1608740484
699	0.1608740074
700	0.160873983
701	0.1608739625
702	0.1608739326
703	0.1608739227
704	0.1608738968
705	0.1608738704
706	0.1608737514
707	0.1608736807
708	0.1608736656
709	0.1608736284
710	0.1608736163
711	0.1608735828
712	0.1608735401
713	0.1608735364
714	0.160873518
715	0.1608735036
716	0.1608734912
717	0.1608734317
718	0.1608734173
719	0.1608733993
720	0.1608733831
721	0.1608733616
722	0.1608733497
723	0.1608733444
724	0.1608733393
725	0.1608733146
726	0.160873301
727	0.1608732881
728	0.1608732527
729	0.1608732083
730	0.1608732002
731	0.1608731741
732	0.1608731529
733	0.1608731137
734	0.1608730657
735	0.1608730517
736	0.1608730382
737	0.1608730027
738	0.1608729788
739	0.1608729704
740	0.1608729647
741	0.1608728971
742	0.1608728737
743	0.1608728505
744	0.1608728465
745	0.1608728402
746	0.1608728348
747	0.1608728331
748	0.1608728316
749	0.1608728304
750	0.1608728294
751	0.16087275
752	0.1608727242
753	0.1608727023
754	0.1608726999
755	0.1608726823
756	0.1608726103
757	0.1608725904
758	0.160872571
759	0.1608725698
760	0.1608725673
761	0.1608725561
762	0.1608725408
763	0.1608725264
764	0.1608725107
765	0.1608724433
766	0.1608724214
767	0.1608724141
768	0.1608724097
769	0.160872399
770	0.1608723824
771	0.1608723747
772	0.1608723701
773	0.1608723471
774	0.160872297
775	0.1608722808
776	0.1608722303
777	0.1608722146
778	0.1608722125
779	0.1608721975
780	0.1608721406
781	0.1608721292
782	0.1608721145
783	0.1608720993
784	0.1608720935
785	0.1608720832
786	0.1608720392
787	0.1608720266
788	0.1608720132
789	0.1608719997
790	0.1608719856
791	0.1608719645
792	0.1608719403
793	0.1608719277
794	0.1608719155
795	0.1608719121
796	0.1608718961
797	0.1608718772
798	0.1608718742
799	0.160871853
800	0.1608718519
801	0.160871849
802	0.160871843
803	0.1608718026
804	0.1608717851
805	0.1608717408
806	0.1608717288
807	0.1608717179
808	0.1608716995
809	0.160871681
810	0.1608716708
811	0.1608716681
812	0.1608716517
813	0.1608716461
814	0.160871641
815	0.1608716331
816	0.1608716247
817	0.1608715798
818	0.1608715704
819	0.1608715565
820	0.1608715555
821	0.1608715301
822	0.1608714958
823	0.1608714633
824	0.1608714392
825	0.1608714229
826	0.1608714007
827	0.1608713915
828	0.1608713586
829	0.1608713293
830	0.1608713183
831	0.160871291
832	0.1608712644
833	0.1608712331
834	0.1608712286
835	0.1608712222
836	0.1608711944
837	0.1608711843
838	0.1608711748
839	0.1608711657
840	0.1608711523
841	0.1608711434
842	0.1608711351
843	0.1608711267
844	0.1608711012
845	0.1608710947
846	0.160871094
847	0.1608710878
848	0.1608710772
849	0.1608710658
850	0.1608710585
851	0.1608710525
852	0.1608710459
853	0.160871023
854	0.1608709996
855	0.160870999
856	0.1608709747
857	0.16087097
858	0.1608709638
859	0.1608709562
860	0.1608709501
861	0.1608709447
862	0.1608709444
863	0.1608709353
864	0.1608709149
865	0.1608709141
866	0.1608709109
867	0.1608709023
868	0.1608708983
869	0.1608708814
870	0.1608708735
871	0.1608708657
872	0.1608708612
873	0.1608708543
874	0.1608708541
875	0.1608708539
876	0.1608708536
877	0.1608708509
878	0.1608708508
879	0.160870849
880	0.1608708483
881	0.1608708386
882	0.1608708328
883	0.1608708323
884	0.1608708312
885	0.1608708232
886	0.1608708215
887	0.1608708162
888	0.1608708151
889	0.1608708107
890	0.1608708092
891	0.1608708064
892	0.1608707966
893	0.1608707881
894	0.1608707834
895	0.1608707814
896	0.1608707784
897	0.1608707757
898	0.1608707688
899	0.1608707618
900	0.1608707573
901	0.16087074
902	0.1608707245
903	0.1608707239
904	0.1608707227
905	0.1608707148
906	0.1608707143
907	0.1608707112
908	0.160870703
909	0.1608706953
910	0.1608706873
911	0.1608706847
912	0.1608706824
913	0.1608706811
914	0.1608706806
915	0.1608706778
916	0.1608706734
917	0.1608706728
918	0.1608706717
919	0.160870665
920	0.1608706639
921	0.1608706538
922	0.1608706533
923	0.1608706529
924	0.1608706521
925	0.160870645
926	0.1608706415
927	0.1608706349
928	0.1608706342
929	0.1608706267
930	0.1608706204
931	0.1608706143
932	0.1608706101
933	0.160870607
934	0.1608705999
935	0.1608705999
936	0.1608705957
937	0.1608705956
938	0.1608705871
939	0.1608705869
940	0.1608705864
941	0.1608705862
942	0.1608705858
943	0.160870583
944	0.1608705767
945	0.1608705681
946	0.1608705673
947	0.1608705672
948	0.160870567
949	0.1608705667
950	0.1608705663
951	0.1608705642
952	0.1608705625
953	0.1608705621
954	0.1608705478
955	0.1608705467
956	0.1608705464
957	0.1608705406
958	0.1608705381
959	0.1608705381
960	0.1608705359
961	0.1608705343
962	0.1608705314
963	0.1608705233
964	0.1608705082
965	0.1608705072
966	0.1608705066
967	0.1608705025
968	0.1608705019
969	0.1608704959
970	0.1608704936
971	0.1608704932
972	0.1608704809
973	0.1608704678
974	0.1608704556
975	0.1608704555
976	0.1608704553
977	0.160870452
978	0.1608704488
979	0.1608704462
980	0.1608704356
981	0.160870435
982	0.1608704299
983	0.1608704252
984	0.1608704229
985	0.1608704162
986	0.1608704128
987	0.1608704106
988	0.1608704067
989	0.1608704
990	0.1608703967
991	0.1608703876
992	0.1608703834
993	0.1608703744
994	0.1608703706
995	0.1608703676
996	0.1608703636
997	0.1608703596
998	0.1608703558
999	0.1608703502
